# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
4.274387018741200000e+14 2.456618565399050713e+06 -1.437388309367187500e+10 -1.199586286889062500e+10 2.405701911368962843e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.566548681256000000e+14 2.476885879507541656e+06 -1.511419041960937500e+10 -1.265792192693750000e+10 2.426268624296453781e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.873303361471040000e+14 2.497366527190446854e+06 -1.588133645609375000e+10 -1.334566150740625000e+10 2.447048704127853271e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.195116348822960000e+14 2.518058890447497368e+06 -1.667589777182812500e+10 -1.405966438920312500e+10 2.468040531377690379e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.532459257386000000e+14 2.538960886850714684e+06 -1.749845608384375000e+10 -1.480051849001562500e+10 2.489242005073232111e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.885810024053920000e+14 2.560071105006814003e+06 -1.834960093393750000e+10 -1.556881963537500000e+10 2.510651721851944923e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.255652806091120000e+14 2.581387666691303253e+06 -1.922992715106250000e+10 -1.636516892773437500e+10 2.532267794296564069e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.642477986281440000e+14 2.602909338954329491e+06 -2.014003788562500000e+10 -1.719017584612500000e+10 2.554089005492301658e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.046782067376640000e+14 2.624634423734188080e+06 -2.108054172168750000e+10 -1.804445530643750000e+10 2.576113656076700427e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.469067679698240000e+14 2.646561832939386368e+06 -2.205205566293750000e+10 -1.892863068621875000e+10 2.598340680167725310e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.909843474424320000e+14 2.668690022170305252e+06 -2.305520243046875000e+10 -1.984333107998437500e+10 2.620768538403073791e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.369624131590880000e+14 2.691018032920956612e+06 -2.409061346525000000e+10 -2.078919434246093750e+10 2.643396299676306546e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.848930254659840000e+14 2.713544457625985146e+06 -2.515892613365625000e+10 -2.176686425106250000e+10 2.666222566721819807e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.348288381710080000e+14 2.736268454228758812e+06 -2.626078685896875000e+10 -2.277699368371875000e+10 2.689246529072981328e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.868230871587360000e+14 2.759188745561242104e+06 -2.739684844603125000e+10 -2.382024187553125000e+10 2.712466924616581760e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040929593536608000e+15 2.782304606789708138e+06 -2.856777332734375000e+10 -2.489727773334375000e+10 2.735883063904919662e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.097202750343056000e+15 2.805614890768766403e+06 -2.977423076118750000e+10 -2.600877697015625000e+10 2.759493819159582257e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.155697526889712000e+15 2.829118988826155663e+06 -3.101690022540625000e+10 -2.715542555271875000e+10 2.783298620685996022e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.216469454995040000e+15 2.852815879890561104e+06 -3.229646837481250000e+10 -2.833791659621875000e+10 2.807296470622894354e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.279574634119328000e+15 2.876705062301874161e+06 -3.361363239412500000e+10 -2.955695377053125000e+10 2.831486909124384634e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.345069717227904000e+15 2.900785626762509346e+06 -3.496909676215625000e+10 -3.081324801953125000e+10 2.855869052951730322e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.413011915748416000e+15 2.925057165777325630e+06 -3.636357678115625000e+10 -3.210752113106250000e+10 2.880442538479039911e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.483458986259360000e+15 2.949518867471575737e+06 -3.779779504550000000e+10 -3.344050214631250000e+10 2.905206581825800240e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.556469235001088000e+15 2.974170404610991478e+06 -3.927248519646875000e+10 -3.481293118925000000e+10 2.930160900770920794e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.632101504989408000e+15 2.999011052139520645e+06 -4.078838825893750000e+10 -3.622555571506250000e+10 2.955304799514465034e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.710415180588800000e+15 3.024040555864930153e+06 -4.234625658940625000e+10 -3.767913453887500000e+10 2.980638069433384109e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.791470174783808000e+15 3.049258270645976067e+06 -4.394685007781250000e+10 -3.917443395415625000e+10 3.006160095394068863e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.875326934191552000e+15 3.074664008083939552e+06 -4.559094012118750000e+10 -4.071223178171875000e+10 3.031870734576027840e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.962046425575008000e+15 3.100257194207906723e+06 -4.727930565468750000e+10 -4.229331333237500000e+10 3.057769443205220625e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.051690142062496000e+15 3.126037696071743965e+06 -4.901273712525000000e+10 -4.391847545228125000e+10 3.083856133268240374e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.144320088923680000e+15 3.152004998709797859e+06 -5.079203237821875000e+10 -4.558852230178125000e+10 3.110130319444911554e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.239998790938080000e+15 3.178159011957049370e+06 -5.261800063796875000e+10 -4.730426945043750000e+10 3.136591955084439367e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.338789276777024000e+15 3.204499268698453903e+06 -5.449145839228125000e+10 -4.906653967240625000e+10 3.163240601537695155e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.440755088253408000e+15 3.231025712765693665e+06 -5.641323337800000000e+10 -5.087616699234375000e+10 3.190076244209878147e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.545960264138336000e+15 3.257737917257189751e+06 -5.838416055493750000e+10 -5.273399258615625000e+10 3.217098482941823546e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.654469349276000000e+15 3.284635854661703110e+06 -6.040508603981250000e+10 -5.464086880468750000e+10 3.244307329532827251e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.766347378179808000e+15 3.311719132340788841e+06 -6.247686304112500000e+10 -5.659765500834375000e+10 3.271702416062225588e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.881659886830784000e+15 3.338987745376825333e+06 -6.460035577300000000e+10 -5.860522156937500000e+10 3.299283774200312328e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000472892686976000e+15 3.366441328428626060e+06 -6.677643528018750000e+10 -6.066444561931250000e+10 3.327051060890443157e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.122852909962816000e+15 3.394079891869783401e+06 -6.900598334162500000e+10 -6.277621501578125000e+10 3.355004319992018864e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.248866927131712000e+15 3.421903089049458504e+06 -7.128988813725000000e+10 -6.494142394771875000e+10 3.383143224215699825e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.378582424801152000e+15 3.449910937643527985e+06 -7.362904830287500000e+10 -6.716097704628125000e+10 3.411467821205406450e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.512067351333696000e+15 3.478103100712418556e+06 -7.602436819237500000e+10 -6.943578459812500000e+10 3.439977789960766677e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.649390141772864000e+15 3.506479594980716705e+06 -7.847676239893750000e+10 -7.176676708925000000e+10 3.468673173288319260e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.790619694194560000e+15 3.535040085563778877e+06 -8.098715049381250000e+10 -7.415484992696875000e+10 3.497553648399341851e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.935825387924416000e+15 3.563784581129431725e+06 -8.355646189575000000e+10 -7.660096834400000000e+10 3.526619245783023071e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
